page,page_count,exercise_templates
1,5,"{'id': 'FFC106CB', 'title': 'Decline Bench Press (Smith Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps'], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'A351AED7', 'title': 'Decline Chest Fly (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'BC10A922', 'title': 'Decline Crunch', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'B2398CD1', 'title': 'Decline Crunch (Weighted)', 'type': 'bodyweight_weighted', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'C43825EA', 'title': 'Decline Push Up', 'type': 'reps_only', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['shoulders', 'triceps'], 'equipment': 'other', 'is_custom': False}"
1,5,"{'id': 'dac7c36a-7bd9-430f-8c71-b8018ea6e4f4', 'title': 'Desenvolvimento Articulado', 'type': 'weight_reps', 'primary_muscle_group': 'shoulders', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': True}"
1,5,"{'id': '6575F52D', 'title': 'Diamond Push Up', 'type': 'reps_only', 'primary_muscle_group': 'triceps', 'secondary_muscle_groups': ['chest'], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': '7DA843A3', 'title': 'Downward Dog', 'type': 'reps_only', 'primary_muscle_group': 'full_body', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
1,5,"{'id': 'D950429E', 'title': 'Drag Curl', 'type': 'weight_reps', 'primary_muscle_group': 'biceps', 'secondary_muscle_groups': [], 'equipment': 'barbell', 'is_custom': False}"
1,5,"{'id': 'AFC29472', 'title': 'Dragon Flag', 'type': 'reps_only', 'primary_muscle_group': 'abdominals', 'secondary_muscle_groups': [], 'equipment': 'none', 'is_custom': False}"
